Predictions,Truth
0.05859545,0.0
0.03336218,0.0
0.037684754,0.0
0.07477598,0.0
0.12262313,0.307
1.5029209,1.2309999999999999
3.5588317,2.521
5.841522,4.737
8.176391,6.527
10.568403,8.399
13.001995,11.163
14.841761,13.335
16.963882,15.37
20.571028,18.797
21.838251,19.843
22.833,21.041
24.143127,22.375
24.760624,22.599
25.457947,23.609
25.942703,23.735
26.566288,24.574
25.91985,23.886999999999997
26.037006,24.449
26.92313,25.31
26.341839,24.435
25.710613,20.755
26.039688,25.191
24.012009,21.688000000000002
24.75634,23.066999999999997
24.130074,23.230999999999998
23.435343,23.735
22.504314,18.131
22.913689,21.372
21.87022,18.79
20.56427,17.3
18.558601,18.015
18.389008,17.009
16.497673,14.774000000000001
13.589167,11.745999999999999
12.520916,10.128
11.178085,8.088
10.301376,9.516
7.4745297,7.767
7.5191355,5.525
5.4470196,3.8289999999999997
4.380815,3.2310000000000003
2.8072057,2.059
1.5228633,1.15
1.2729414,1.494
1.1541381,0.8029999999999999
0.49885842,0.45399999999999996
0.24462208,0.0
0.084339306,0.0
0.06932416,0.0
0.08315447,0.0
0.09847391,0.0
0.09432518,0.0
0.07462411,0.0
0.06360099,0.0
0.07844582,0.0
0.06269014,0.0
0.048771635,0.0
0.017718703,0.0
0.031779483,0.0
0.016656846,0.0
0.007898986,0.0
0.002759993,0.0
0.022485793,0.0
0.01565528,0.0
0.011783212,0.0
0.0008968115,0.0
0.009497941,0.0
0.0055760145,0.0
0.017638743,0.0
0.022142947,0.0
0.046238184,0.0
0.05158317,0.0
0.05278355,0.0
0.056761444,0.0
0.04538715,0.0
0.04927057,0.0
0.04783809,0.0
0.04339075,0.0
0.044418097,0.0
0.037059307,0.0
0.034308314,0.0
0.034717083,0.0
0.020527601,0.0
0.009316802,0.0
0.013091445,0.0
0.01960957,0.0
0.033005834,0.0
0.075075746,0.0
-0.017273158,0.0
0.038865536,0.0
0.060104698,0.0
0.027451456,0.0
0.13067482,0.303
1.3087548,1.1179999999999999
3.2349546,2.436
5.302419,4.261
7.68297,6.193
10.4331875,8.673
12.808877,11.078
14.769199,13.091
16.583603,14.679
18.181507,16.295
19.818342,18.137999999999998
20.980656,19.144000000000002
21.994251,20.301
22.925003,21.44
24.206215,22.146
26.12109,24.79
26.882935,25.084
27.627167,25.621
27.847254,26.135
28.054388,26.374000000000002
28.007812,26.519000000000002
28.248127,26.246
27.509632,25.875999999999998
27.453674,25.686999999999998
26.501284,24.415
25.660038,24.0
25.516647,23.333000000000002
24.36565,22.423000000000002
23.46996,21.416
22.174597,19.923
21.047005,19.153
19.982788,17.933
18.444317,16.578
17.188692,14.975
15.852753,13.468
14.077959,11.758
12.541161,10.066
10.742062,8.482999999999999
8.990166,6.795
7.3289576,5.23
5.631682,3.841
4.150527,2.647
3.0390003,1.732
1.9820151,1.023
1.3185803,0.746
0.966405,0.521
0.46327922,0.225
0.09203833,0.083
0.098695636,0.0
0.08184591,0.0
0.08703814,0.0
0.10993911,0.0
0.06386823,0.0
0.05168648,0.0
0.046998665,0.0
0.062166378,0.0
0.03384465,0.0
0.056022942,0.0
0.029825002,0.0
0.036159545,0.0
0.028504074,0.0
0.04432261,0.0
0.021564156,0.0
0.021118104,0.0
0.009701967,0.0
0.0040999353,0.0
9.700656e-05,0.0
0.013650894,0.0
0.02088195,0.0
0.027491033,0.0
0.03147602,0.0
0.039010465,0.0
0.04328376,0.0
0.047501743,0.0
0.049427092,0.0
0.042512238,0.0
0.036241055,0.0
0.034493923,0.0
0.034759045,0.0
0.026587605,0.0
0.024674177,0.0
0.004748106,0.0
0.0047798157,0.0
0.00679636,0.0
0.009325862,0.0
-0.0017185211,0.0
0.0044175386,0.0
0.009412169,0.0
0.013232708,0.0
0.010932684,0.0
0.06395547,0.0
0.061483756,0.0
0.047726706,0.0
0.004685387,0.0
0.012072101,0.0
0.13772355,0.265
1.4206735,1.214
3.2024434,2.412
5.148875,4.151
7.373327,5.895
9.590832,8.04
11.766985,10.245999999999999
13.801474,12.57
15.768077,14.339
17.567657,15.845
19.012264,17.340999999999998
20.339943,18.666
21.457764,19.785999999999998
22.408464,20.596999999999998
23.42345,21.643
23.89947,22.177
24.714336,22.886999999999997
25.275564,23.464000000000002
25.331982,23.729
25.702602,24.107
25.715792,23.904
26.08995,24.055
25.859884,24.136
