"active_power"	"irradiation"	"module_temperature"	"windspeed"	"ambient_temp"	"minute"
0	0	16.4222873898	1.88709677416	18.3284457476	0
0	0	15.7869012706	1.66935483868	18.2013685238	15
0	0	15.9139784944	3.41129032255	17.8201368522	30
0	0	15.9139784944	2.10483870965	17.8201368522	45
0.372	0.0027370478986	15.9139784944	2.32258064513	18.4555229715	60
1.439	0.0398826979475	16.4222873898	3.62903225803	19.2179863146	75
2.95	0.0926686217012	17.8201368522	5.3709677419	20.9970674485	90
9.422	0.294037145651	23.1573802539	6.02419354835	24.0469208209	135
12.093	0.364418377322	25.4447702833	6.6774193548	23.0303030301	150
14.677	0.43870967742	27.2238514172	6.6774193548	23.0303030301	165
17.138	0.499315738026	28.6217008795	6.02419354835	23.5386119255	180
18.572	0.569696969698	31.2903225804	6.24193548384	24.1739980448	195
19.872	0.614662756599	33.5777126097	6.45967741932	25.4447702833	210
21.746	0.675268817205	35.4838709675	9.07258064513	27.0967741933	225
23.795	0.737829912024	37.644183773	10.5967741935	28.3675464318	240
25.138	0.788660801565	38.2795698922	13.6451612903	29.2570869988	255
25.829	0.82971652004	38.6608015638	15.1693548387	30.1466275658	270
27.383	0.862952101663	38.9149560115	16.0403225806	30.9090909089	285
28.484	0.900097751711	40.3128054738	16.9112903225	31.4173998043	300
28.687	0.931378299121	40.18572825	16.9112903225	32.1798631474	315
29.347	0.952883675465	41.3294232646	17.564516129	32.6881720428	330
29.785	0.974389051809	41.83773216	15.1693548387	33.1964809382	345
29.566	0.976344086022	43.1085043986	15.3870967742	33.8318670574	360
29.88	0.984164222875	44.1251221894	16.6935483871	34.4672531767	375
29.478	0.986119257088	44.1251221894	17.3467741935	34.9755620721	390
29.267	0.972434017596	43.8709677417	18.6532258064	35.3567937436	405
29.617	0.964613880744	43.8709677417	16.4758064516	35.9921798629	420
28.468	0.939198435973	45.0146627563	18.6532258064	36.2463343106	435
27.988	0.925513196482	44.5063538609	18.8709677419	36.3734115345	450
27.671	0.904007820138	44.5063538609	18	36.754643206	465
26.651	0.876637341154	44.6334310848	18.4354838709	37.0087976537	480
25.978	0.845356793745	44.1251221894	18.8709677419	37.3900293253	495
24.908	0.806256109483	44.1251221894	19.3064516129	37.7712609968	510
23.354	0.767155425221	43.616813294	19.7419354838	37.8983382207	525
21.944	0.718279569893	43.2355816224	19.9596774193	37.8983382207	540
20.75	0.679178885631	43.1085043986	20.8306451612	38.0254154445	555
19.065	0.624437927664	42.6001955032	19.5241935483	38.0254154445	570
17.423	0.571652003911	42.2189638316	18.4354838709	38.1524926684	585
15.665	0.522776148583	41.9648093839	18	38.1524926684	600
14.348	0.471945259043	41.7106549362	21.2661290322	37.8983382207	615
12.573	0.425024437928	40.5669599215	18	37.8983382207	630
10.521	0.366373411535	40.3128054738	15.8225806451	37.8983382207	645
8.841	0.307722385142	39.9315738023	19.0887096774	37.7712609968	660
7.199	0.264711632454	39.1691104592	18	37.3900293253	675
5.601	0.2119257087	38.2795698922	15.3870967742	37.0087976537	690
4.15	0.166959921799	37.644183773	15.6048387096	36.6275659822	705
2.951	0.125904203324	36.8817204299	16.4758064516	36.2463343106	720
1.54	0.0652981427178	35.4838709675	13.6451612903	35.4838709675	750
1.051	0.0457478005868	34.9755620721	10.379032258	34.9755620721	765
0.574	0.0261974584558	34.0860215051	11.0322580645	34.3401759528	780
0.109	0.0086021505379	33.323558162	9.72580645158	33.8318670574	795
0	0	32.6881720428	8.20161290319	33.1964809382	810
0	0	31.7986314758	5.3709677419	32.5610948189	825
0	0	30.782013685	5.15322580642	31.9257086997	840
0	0	30.1466275658	4.71774193545	31.4173998043	855
0	0	29.6383186703	5.3709677419	31.0361681327	870
0	0	29.6383186703	6.45967741932	30.9090909089	885
0	0	29.6383186703	6.6774193548	30.9090909089	900
0	0	29.6383186703	7.33064516126	30.782013685	915
0	0	29.7653958942	8.20161290319	30.6549364612	930
0	0	29.6383186703	7.11290322577	30.5278592373	945
0	0	29.2570869988	4.93548387093	30.0195503419	960
0	0	28.6217008795	3.62903225803	29.5112414465	975
0	0	27.8592375364	3.19354838706	28.8758553272	990
0	0	26.8426197456	3.84677419352	28.3675464318	1005
0	0	26.5884652979	4.28225806448	27.8592375364	1020
0	0	26.3343108502	5.58870967739	27.9863147603	1035
0	0	26.8426197456	5.58870967739	27.9863147603	1050
0	0	26.9696969695	5.15322580642	27.9863147603	1065
0	0	26.8426197456	4.93548387093	27.7321603126	1080
0	0	26.5884652979	5.3709677419	27.6050830887	1095
0	0	26.3343108502	4.71774193545	27.4780058649	1110
0	0	26.2072336264	5.15322580642	27.350928641	1125
0	0	26.0801564025	5.80645161287	26.9696969695	1140
0	0	25.8260019548	5.58870967739	26.8426197456	1155
0	0	25.698924731	7.76612903222	26.9696969695	1170
0	0	25.698924731	9.29032258061	27.0967741933	1185
0	0	25.9530791787	8.63709677416	26.7155425218	1200
0	0	25.5718475071	6.02419354835	26.3343108502	1215
0	0	25.1906158356	3.41129032255	25.698924731	1230
0	0	23.9198435971	4.064516129	25.3176930594	1245
0	0	23.7927663732	1.23387096771	24.9364613879	1260
